ISBN,Title,Author,Year-Of-Publication,Publisher,Genre,Description,Average_rating,Ratings_count,Image-URL-S,Image-URL-M,Image-URL-L
8423918378,Sonata de Primavera-Sonata de Estio,Del Valle-Inclan Ramon,1994,Elliot's Books,Classics,"Estas pÃ¡ginas son un fragmento de las Memorias amables que ya muy viejo empezÃ³ a escribir en la emigraciÃ³n el MarquÃ©s de BradomÃ­n. Un Don Juan admirable, Â¡El mÃ¡s admirable tal vez!, era feo, catÃ³lico y sentimental. AsÃ­ define don RamÃ³n del Valle-InclÃ¡n sus SONATAS, en las que, dentro de la trayectoria del Modernismo y desde una perspectiva absolutamente original, contrahace el viejo mito. El movimiento modernista trae consigo una visiÃ³n artÃ­stica de la vida, una ideologÃ­a religiosa en la que el amor y lo profano se revisten de formas sagradas y, en contraste con el realismo burguÃ©s, exalta lo aristocrÃ¡tico refinado y cosmopolita. El protagonista de las SONATAS es un arquetipo de nueva cultura. DifÃ­cilmente podrÃ­a hallarse mejor introductor y compaÃ±ero de lectura de estas dos SONATAS, donde vamos del ambiente primaveral de la Italia del norte a la exuberancia del estilo mexicano, que Pedro Gimferrer. Escritor y acadÃ©mico de la Real Academia EspaÃ±ola de la Lengua, es uno de los primeros especialistas en el Modernismo, e introductor, a la vez, de una corriente neomodernista en la poesÃ­a hispÃ¡nica.",3.63,151,http://images.amazon.com/images/P/8423918378.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8423918378.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8423918378.01.LZZZZZZZ.jpg
1891984136,Radicals &amp; Visionaries: Entrepreneurs Who Revolutionized the 20th Century,Thaddeus Wawro,2000,Entrepreneur Press,Nonfiction,"What has driven the 20th century's most revolutionary entrepreneurs--from Henry Ford to Bill Gates to Oprah Winfrey? Find out in this provocative collection of in-depth profiles that goes beyond the media hype and corporate PR to reveal the leaders' visions, drive, and desires. 72 photos.",3.93,43,http://images.amazon.com/images/P/1891984136.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1891984136.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1891984136.01.LZZZZZZZ.jpg
1583141308,Through the Fire (Arabesque),Donna Hill,2001,Dafina Books,Romance,"Convinced she will never love again after a devastating tragedy, songwriter Rae Lindsay takes refuge in the only thing that brings her comfort: music. ,But when soulful Quinten Parker walks into her life, Rae suddenly finds her peaceful solitude threatened - along with her heart.",4.08,101,http://images.amazon.com/images/P/1583141308.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1583141308.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1583141308.01.LZZZZZZZ.jpg
1583141189,A Scandalous Affair (Arabesque),Donna Hill,2000,Arabesque,Romance,"A dynamic Washington D.C. activist, Samantha Montgomery faces the controversy of a lifetime when she agrees to help handsome civil rights attorney Chad Rushmore take on a landmark police brutality suit. ,Not only does their sudden, fiery attraction endanger the already-turbulent case, but it puts Samantha at heartbreaking odds with her attorney sister, Simone. ,With both family and a cause at stake, Samantha must walk a dangerous line between passion and loyalty, duty and desire... to discover the most fulfilling love of all.",4.09,106,http://images.amazon.com/images/P/1583141189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1583141189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1583141189.01.LZZZZZZZ.jpg
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,Nonfiction,"This latest collection of stories celebrates the shared experiences of being a woman in a 101 new ways. You will be moved by these true accounts of how women like you have embraced life's defining moments by finding love, dealing with loss, overcoming obstacles and achieving their dreams and goals. Like spending time with a trusted friend, ""A Second Chicken Soup for the Woman's Soul"" will put difficult times into perspective, renew your faith in yourself and make you aware of the miracles in your own life. ",4.08,1038,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
1870041143,Lowenskold Ring,Selma Lagerlof,1991,Norvik Press,Classics,"A tale of jealousy and revenge from beyond the grave, as a stolen ring brings suffering and violent death to innocent and guilty alike until it is restored to its rightful owner in his tomb. Selma Lagerlof was the first woman to win a Nobel Prize in literature, in 1909.",3.7,762,http://images.amazon.com/images/P/1870041143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1870041143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1870041143.01.LZZZZZZZ.jpg
1580050700,Expat: Women's True Tales of Life Abroad (Adventura Travel Series),Christina Henry De Tessan,2002,Seal Press (WA),Travel,"For generations, literary figures from Ernest Hemingway to Frances Mayes have fueled our fantasies about the romance of expatriate life. But itâ€™s one thing to dream about living abroad and quite another to actually do it. In Expat a diverse group of women explores in vivid detail how the reality of life abroad matches up to the fantasy. Tonya Ward Singer craves a roasted chicken in China and must buy it alive and kicking. Karen Rosenberg reevaluates both her familyâ€™s Judaism and her own when invited to a Passover seder in a remote Japanese village. Mandy Dowd tries to teach the French about Thanksgiving. Emily Miller admits that in Italy she craves the Hollywood entertainment she generally deplores when on U.S. soil. Tall and fair, Meg Wirth tries hard to blend in, in Borneoâ€”to no avail. Expat taps into the bewilderment, joys, and surprises of life overseas, where challenges often take unexpected forms and overcoming obstacles (finding Drano in Ukraine, shrimp paste in Prague) feels all the more triumphant. Featuring an astonishing range of perspectives, destinations, and circumstances, Expat offers a beautiful portrait of life abroad.",3.6,415,http://images.amazon.com/images/P/1580050700.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1580050700.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1580050700.01.LZZZZZZZ.jpg
1567182526,Wiccan Warrior: Walking a Spiritual Path in a Sometimes Hostile World,Kerr Cuhulain,2000,Llewellyn Publications,Religion,"We all have archetypes we model ourselves upon. In the Wiccan community these include Maiden, Healer, Mother, Bard, and others. In Wiccan Warrior by Kerr Cuhulain, you will learn of eight new yet traditional archetypes that Wiccans can model their lives and goals upon. You'll also find that they are completely appropriate for any person following a spiritual system.,These eight are:,The Balanced Warrior, for whom all comes from the Divine and must be treated as such. The Creative Warrior, who masters myths and can use them to share wisdom. The Rational Warrior, who avoids all types of fundamentalism. The Energized Warrior, who can raise and direct energy. You'll learn to do this with toning, mantras, dance and drumming. The Dreaming Warrior, who knows how to alter consciousness. Here you will learn meditation, concentration and breathwork. The Magickal Warrior, who knows and can do magick. The Ritual Warrior, who helps revitalize rituals with knowledge, understanding, energy and love. The Initiated Warrior, who knows and shares the value of true initiation. There are five cornerstones to the magick of being a Wiccan Warrior. These are the well-known To Dare, To Will, To Know and To Keep Silent. To these Cuhulain adds To Imagine. For to imagine is to be able to clearly visualize your objective, to develop and use a creative imagination. The book is filled with ideas and insights that will guide you on your way to becoming a true Wiccan Warrior, a person freed from limitations.,This book is a must for Wiccan and Witches of all stripes. If one of the Warrior archetypes doesn't fit your needs, another (or several others) will. People who are not Wiccans will find much to admire and make use of, too.,Winner of the 2001 Coalition of Visionary Resources (COVR) Award for best Biographical/Personal Book",4.07,227,http://images.amazon.com/images/P/1567182526.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567182526.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567182526.01.LZZZZZZZ.jpg
1569472610,Twins,Tessa De Loo,2001,Soho Press,Fiction,"Twins who were orphaned at six and sent to live with different relatives on opposite sides of WW II are reunited by chance seventy years later at a Belgian health resort. This international bestseller, a powerful novel, is both a European allegory and a poignant story of family ties.",3.62,4612,http://images.amazon.com/images/P/1569472610.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569472610.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569472610.01.LZZZZZZZ.jpg
9029528958,De meisjes van de suikerwerkfabriek: Verhalen (Grote ABC),Tessa de Loo,1983,Arbeiderspers,Short Stories,"De meisjes van de suikerwerkfabriek bevat zes wondermooie verhalen. In het titelverhaal stellen vier vrouwen, die in een treincoupÃ© zitten en op weg zijn naar hun werk, zich teweer tegen een jong pedant conducteurtje. Hun verdediging slaat algauw om in een aanval waarbij hij de prooi wordt.",3.09,231,http://images.amazon.com/images/P/9029528958.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9029528958.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9029528958.01.LZZZZZZZ.jpg
1891830201,A Complete Lowlife,Ed Brubaker,2001,Top Shelf Productions,Sequential Art,"Witty and poignant, this collection of semi-autobiographical tales focuses on love, despair, lost friendships, and the murky morality of stealing from work. Known for being one of the funniest series ever published in comics form, Lowlife dissects the Slacker / Generation X lifestyle from the inside out, bringing a great amount of humanity to the process along the way.",3.49,340,http://images.amazon.com/images/P/1891830201.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1891830201.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1891830201.01.LZZZZZZZ.jpg
1582432546,"Shoes Outside the Door: Desire, Devotion, and Excess at San Francisco Zen Center",Michael Downing,2002,Counterpoint Press,Religion,"Eastern tradition collides with Western individualism in this provocative and compulsively readable investigation of Buddhism, American-style. A genuine spiritual movement becomes strangely entangled with elitist aesthetics, the culture of celebrity, multi-million-dollar investment portfolios, sex scandals, and an unsolved crime.,Told Rashomon-fashion by a singular mix of hippies, millionaires, intellectuals, and lost souls whose lives are almost unbelievably intertwined, Shoes Outside the Door is the first book to examine the inner workings of the profoundly influential San Francisco Zen Center. In exploring the history of the most important institution in American Buddhism, author Michael Downing provocatively captures the profound ambivalence of people who earnestly seek both inner peace and worldly satisfaction.",3.74,217,http://images.amazon.com/images/P/1582432546.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1582432546.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1582432546.01.LZZZZZZZ.jpg
1563899086,Catwoman: Dark End of the Street,Ed Brubaker,2002,DC Comics,Sequential Art,"For years, Selina Kyle has prowled the skyline of Gotham City as its most famous thief, Catwoman. But when word spreads of Catwoman's demise, Selina decides to leave the costumed world behind and continue her trade cloaked in the shadows. Unable to enjoy her newfound anonymity for too long though, Selina decides that she must return to her infamous persona. Donning a new costume and attitude, Catwoman returns to the streets and sets her sights on the serial killer that has been preying upon the streetwalkers she calls friends.,This trade paperback collects the story arc ""Anodyne"" and ""The Trail of the Catwoman"".,Collecting,: ,Catwoman, 1-4, ,Detective Comics, 759-762",4.12,1777,http://images.amazon.com/images/P/1563899086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563899086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563899086.01.LZZZZZZZ.jpg
1563894696,Batman: The Long Halloween,Jeph Loeb,1999,DC Comics,Sequential Art,"Taking place during Batman's early days of crime fighting, this new edition of the classic mystery tells the story of a mysterious killer who murders his prey only on holidays. Working with District Attorney Harvey Dent and Lieutenant James Gordon, Batman races against the clock as he tries to discover who Holiday is before he claims his next victim each month. A mystery that has the reader continually guessing the identity of the killer, this story also ties into the events that transform Harvey Dent into Batman's deadly enemy, Two-Face.",4.32,80775,http://images.amazon.com/images/P/1563894696.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563894696.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563894696.01.LZZZZZZZ.jpg
1560763957,The Tainted Sword (Dungeons &amp; Dragons Novels),D.J. Heinrich,1992,Wizards of the Coast,Fantasy,"Wyrmblight, once a sword of great renown, lies tarnished and forgotten by the one man who can wield it. But Fain Flinn--known in legends as Flinn the Mighty--has lost his honor and his pride. Now the land of Penhaligon faces a threat only Flinn can conquer.,All seems hopeless, until a young woman recognizes the pulse of goodness that still beats in the knight's angry heart. Along with the girl, a fastidious dwarf, and a shy wildboy, Flinn sets out to regain his honor and his magical blade. Yet even Wyrmblight may not be powerful enough to cut through the intricate web of deceit spun by Verdilith, a malevolent dragon bent upon destroying the once-mighty hero.",3.87,293,http://images.amazon.com/images/P/1560763957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560763957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560763957.01.LZZZZZZZ.jpg
1560766638,"The Fall of Magic (Dungeons &amp; Dragons Novels, Penhaligon Trilogy, Book 3)",D.J. Heinrich,1993,Wizards of the Coast,Fantasy,"A sinister mage has unleashed the power of an ancient artifact on the land, an artifact that drains the world of magic. Worse yet, the evil armies that pour through the artifact may bring about the end of the Castle of the Three Suns. In a final, desperate gambit to turn back the tide of doom, the Penhaligon knights ride far and wide to defend all of Mystara from this magic menace.,Meanwhile, Johauna Menhir sets out on an impossible quest to foil the malevolent mage. She seeks the to enter the artifact and, with her immortal-forged sword Peace, slay the wizard Auroch.",3.57,157,http://images.amazon.com/images/P/1560766638.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560766638.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560766638.01.LZZZZZZZ.jpg
1888963050,"Old Man's Cave (Bone, Book 6)",Jeff Smith,1999,Cartoon Books,Sequential Art,"As war spreads through the Valley and the rat creatures mount a vicious offense, Gran'ma, Lucius, Phoney Bone and the villagers join the Veni Yan warriors and set up base camp at Old Man's Cave to make a final stand against the Rat Creature army. Will Fone Bone be able to hold the alliance together? Will the rat creatures finally take over the valley and unleash the power of the Lord of the Locusts? Find out and discover much much more in this pivotal book.",4.37,10744,http://images.amazon.com/images/P/1888963050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1888963050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1888963050.01.LZZZZZZZ.jpg
1573225088,Becket or the Honor of God,Jean Anouilh,1996,Riverhead Books,Historical,"TheÂ celebrated play that draws from historical events in the Norman conquest of England to create a profound portrait of a man's soulâ€”and a transcendent vision of the human spirit,From its powerful opening scene, of a naked King Henry II praying at the tomb of Thomas Becket, to the final wrenching act of ultimate self-sacrifice, Jean Anouilh's ,Becket, remains a towering achievement in the history of the theatre. Winner of the Antoinette Perry Award for Best Play of the Season, Anouilh's monumental workâ€”introduced in this edition by theÂ acclaimed writer and criticÂ Andre Acimanâ€”draws from historical events in the Norman conquest of England to paint a profound and enduring portrait of the saint and martyr.",3.99,1721,http://images.amazon.com/images/P/1573225088.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225088.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225088.01.LZZZZZZZ.jpg
2070413586,Nouvelles sous ecstasy,FrÃ?Â©dÃ?Â©ric Beigbeder,2000,Gallimard,Cultural,"Certains territoires du cervelet et d'autres champs de la conscience sont restÃ©s inexplorÃ©s avant les annÃ©es quatre-vingt et la dÃ©couverte d'une nouvelle drogue, la MDMA, plus connue sous le nom d'ecstasy. Drogue dure, cette ""pilule de l'amour"" Ã  effet rapide ""avec une montÃ©e et une descente comme dans les montagnes russes"" rend la vie des personnages de ce recueil de nouvelles parfois difficileÂ : jouissive avant d'Ãªtre sombre, heureuse avant d'Ãªtre dÃ©primante. On s'aime, on se dÃ©chire, on fait des choses folles comme voir le monde au bord du gouffre, oublier ses inhibitions et ses tabous... et puis... passer les bornes. Oui sans doute, sans doute, car voilÃ  tout le talent de Beigbeder. Avec beaucoup d'humour et d'invention, il nous propose une rÃ©flexion sur l'amour et sur la folie, deux concepts aux multiples ramifications. Et avec toute l'affection dont il est capable, il partage le ""trip"" de ses personnages, nous offrant la possibilitÃ© d'hÃ©siterÂ : est-ce l'auteur qui Ã©crit sous ecstasy ou le rÃ©cit de la vie d'individus en plein envolÂ ? Peut-Ãªtre bien les deux, ce qui ne gÃ¢che en rien le plaisir de la lecture. ,--Hector Chavez, ",3.34,2594,http://images.amazon.com/images/P/2070413586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070413586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070413586.01.LZZZZZZZ.jpg
1841490083,Sten 2: The Wolf Worlds (Sten),Chris Bunch,2002,Orbit Book Co.,Science Fiction,"Raised on the factory planet of Vulcan, Sten soon learns about the survival of the toughest. The Eternal Emperor of the entire galaxy commands vast armies but turns to Sten and his Mantis Team of militant problem-solvers to pacify the Wolf Worlds, a small cluster of planets who have raised space piracy to a low art.",4.05,1342,http://images.amazon.com/images/P/1841490083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841490083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841490083.01.LZZZZZZZ.jpg
1555832660,Swords of the Rainbow,Eric Garber,1996,Alyson Publications,Fantasy,"Swords of the Rainbow: Gay and Lesbian Fantasy Adventures,The richest vein of authors writing today--including Dorothy Allison, Samuel R. Delany, and Tanya Huff--is tapped in this remarkable collection of fantasy, sword and sorcery, and science fiction tales on lesbian and gay themes.",3.62,47,http://images.amazon.com/images/P/1555832660.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1555832660.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1555832660.01.LZZZZZZZ.jpg
1569713367,Elric: Stormbringer,P. Craig Russell,1998,Dark Horse Comics,Sequential Art,"There was a time when great movement fell upon the earth and above it, when the destiny of men and gods was hammered out upon the forge of fate, when monstrous wars were brewed and mighty deeds were designed. Greatest of these heroes was a doom-driven adventurer who bore a runeblade that he loathed. His name was Elric of Melniboni, king of ruins, and lord of a scattered race that once ruled the world. Legendary artist P. Craig Russell adapts Michael Moorcock's climactic Elric novel -- the grand story of the final battle between Law and Chaos -- to the comics format. This is Russell's finest work yet, and the greatest Elric epic of them all, combining the best elements of horror, sword, and sorcery into one amazingly powerful story.",4.33,1202,http://images.amazon.com/images/P/1569713367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569713367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569713367.01.LZZZZZZZ.jpg
1565048199,Clan Novel: Malkavian,Stewart Wieck,2000,White Wolf Games Studio,Horror,"Some Kindred believe the Malkavians mad pretenders to authentic visions. Other Kindred believe it mad to pretend that Malkavian visions bear no truth. Among all Malkavians, Anatole is most infamous for his apocalyptic insights. As he follows the path of Leopold, does he take strides toward the end of all Kindred?",3.33,452,http://images.amazon.com/images/P/1565048199.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565048199.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565048199.01.LZZZZZZZ.jpg
1556523661,The Director's Vision: A Concise Guide to the Art of 250 Great Filmakers,Geoff Andrew,1999,Chicago Review Press,Nonfiction,"Covering the true originals of classic Hollywood, the masters of world cinema, the more distinctive contemporary filmmakers, and a number of downright eccentrics, ,The Directorâ€™s Vision, is a guide to 250 of the all-time great visual stylists. These filmmakers are each given a single film still that exemplifies their work; the accompanying text explores how they exploit the cinematic artsâ€”composition, color, camera angle and movement, lighting, sound, sets, and actionâ€”to convey their thematic obsessions and artistic visions. This simple premise builds into one of the most fascinating, visually arresting, and insightful of all film books. Never have the images of cinema and the words written about it been so expertly tied together. The result is an entertaining and genuinely enlightening film reference.",4.17,42,http://images.amazon.com/images/P/1556523661.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556523661.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556523661.01.LZZZZZZZ.jpg
1587172011,"Noah's Ark (Caldecott Honor Book, 2003)",Jerry Pinkney,2002,Seastar Books,Childrens,"For 40 days and 40 nights rain poured from the heavens, enveloping the world. Only Noah had been warned by God of the great floodand only Noah could save life on earth. This powerful story of salvation has fascinated people of all ages for centuries. Now, four-time Caldecott Honor-recipient Jerry Pinkney captures all the courage, drama, and beauty of this ancient parable in rich, glorious paintings. Full of sensitive detail and emotion, his art brings new life and meaning to an important message of peace. This elegant edition of ,Noah's Ark, promises to give readers strength and hope for many years to come.",4.26,1813,http://images.amazon.com/images/P/1587172011.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1587172011.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1587172011.01.LZZZZZZZ.jpg
1560765712,"Tapestry of Dark Souls (Ravenloft Series, Book 5)",Elaine Bergstrom,1993,Wizards of the Coast,Fantasy,"A creation of magic as old as Ravenloft itself, the tapestry possesses the power to attract and absorb the evil creatures that roam the Dark Domains. Only a reclusive order of monks, the Guardians, know of the tapestry's might. It is their duty to use it wisely and to prevent the beings bound within the cloth from escaping. Yet the number of Guardians is dwindling, their hold over the tapestry slipping with each passing year. their only hope for containing the evil is Jonathan, a youth with strange magical powers. When the boy discovers his ties to the creatures of the cloth, however, he may become the guardians' doom instead of their champion.,A haunting tale of love, and the power of evil to corrupt and betray.,A young man, raised in a monastary, his parents victims of a tapestry of ancient evil, goes in search of love and life beyond the walls. But werewolves and worse stalk the land, and when he returns to release his father from the tapestry's confines, he brings the Silverlord back to a world that has not seen him for centuries.",3.42,744,http://images.amazon.com/images/P/1560765712.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560765712.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560765712.01.LZZZZZZZ.jpg
1573227218,Amazing Grace: A Vocabulary of Faith,Kathleen Norris,1999,Riverhead Books,Nonfiction,"Struggling with her return to the Christian church after many years away, Kathleen Norris found it was the language of Christianity that most distanced her from faith. Words like ""judgment,"" ""faith,"" ""dogma,"" ""salvation,"" ""sinner""â€”even ""Christ""â€”formed what she called her ""scary vocabulary,"" words that had become so codified or abstract that their meanings were all but impenetrable. She found she had to wrestle with them and make them her own before they could confer their blessings and their grace. Blending history, theology, storytelling, etymology, and memoir, Norris uses these words as a starting point for reflection, and offers a moving account of her own gradual conversion. She evokes a rich spirituality rooted firmly in the chaos of everyday lifeâ€”and offers believers and doubters alike an illuminating perspective on how we can embrace ancient traditions and find faith in the contemporary world.",4.02,6677,http://images.amazon.com/images/P/1573227218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573227218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573227218.01.LZZZZZZZ.jpg
1591824311,Demon Diary (Demon Diary),Lee Yun Hee,2004,Tokyopop,Sequential Art,"You Only Hurt The Demons You Live,When Chris was a child, his village was attacked by an insane demon horde. In the siege, the god Rased spared the young boy and buried his memories of the devastation. Chris still carries Rased's power and a hatred of demons -- despite his odd friendship with the cuddliest and most lovable Demon Lord ever, Raenef V! What will it take to make Chris and Raenef duke it out in a no-spells-barred magical melee?",4.09,952,http://images.amazon.com/images/P/1591824311.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1591824311.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1591824311.01.LZZZZZZZ.jpg
1591824303,"Demon Diary, Book 5",Jee-Hyung Lee,2004,TokyoPop,Sequential Art,"Be Careful What You Wish For...,Despite his best efforts, young Raenef the Fifth can't help but embarrass his tutor, Eclipse, time and time again. Still training to become a Demon Lord, Raenef's friendly and loving nature makes Raenef look bad...and Eclipse look even worse. Fed up with his failures, Raenef does what he once considered unthinkable...and actually tries to study.,However, when one hits the books in a demonic library, the books sometimes hit back. After Raenef suddenly becomes frightening and develops a terrible personality, will Eclipse consider his mission complete or will he start wishing for the ""good"" old days?",4.09,974,http://images.amazon.com/images/P/1591824303.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1591824303.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1591824303.01.LZZZZZZZ.jpg
1571312544,"The Barn at the End of the World: The Apprenticeship of a Quaker, Buddhist Shepherd",Mary Rose O'Reilley,2001,Milkweed Editions,Nonfiction,"Transcendence can come in many forms. For Mary Rose Oâ€™Reilley a year tending sheep seemed a way to seek a spirituality based not on â€œclimbing out of the bodyâ€ but rather on existing fully in the world, at least if she could overlook some of its earthier aspects. ,The Barn at the End of the World, follows Oâ€™Reilley in her sometimes funny, sometimes moving quest. Though small in stature, she learns to â€œflipâ€ very large sheep and help them lamb. She also visits a Buddhist monastery in France, where she studies the practice of Mahayana Buddhism, dividing her spare time between meditation and dreaming of French pastries.",4.08,443,http://images.amazon.com/images/P/1571312544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1571312544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1571312544.01.LZZZZZZZ.jpg
2070364852,Le Voyageur imprudent,RenÃ?Â© Barjavel,1973,Gallimard,Science Fiction,"Mon premier voyage aprÃ¨s l'accident me ramena au lieu mÃªme oÃ¹ il s'Ã©tait produit. Sous la coupole, dans la lumiÃ¨re des champignons, les dÃ©bris de chair de mon maÃ®tre mettaient leurs taches sombres sur l'or roux de la chevelure de la tÃªte coupÃ©e. L'expression de celle-ci n'avait pas changÃ©. Les yeux clos, les lÃ¨vres enfin calmÃ©es esquissaient un sourire de paix totale.",3.8,774,http://images.amazon.com/images/P/2070364852.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070364852.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070364852.01.LZZZZZZZ.jpg
1891830198,Box Office Poison,Alex Robinson,2001,Top Shelf Productions,Sequential Art,"This epic story of Sherman, Dorothy, Ed, Stephen, Jane, and Mr. Flavor is not to be missed. Alex Robinson's completely natural and inspiring knack for dialogue has made his story of dreary jobs, comic books, love, sex, messy apartments, girlfriends (and the lack thereof), undisclosed pasts, and crusty old professionals one of the most delightful and whimsical graphic novels to hit the stands in years.",3.93,4324,http://images.amazon.com/images/P/1891830198.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1891830198.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1891830198.01.LZZZZZZZ.jpg
1840680601,Blood Electric,Kenji Siratori,2002,Creation Books,Fiction,"A fatal collusion of drag embryos and DNA angels in Cadaver City ignites the circuitry of the ADAM Doll... dogs of zero waging gene war in Placenta World, chaos unleashed by the digital vampires of Sato Corporation, nano-junk virus pandemic.""Blood Electric"" is a devastating loop of language from the Tokyo avant-garde, with stylistic experimentation akin to Artaud or Burroughs, but embracing the image mayhem of the internet / multimedia / digital age. Kenji Siratori comes from within the history of radical literature, but his youth, cultural context, and understanding of the futurity of digital technologies positions him as the herald of a new literary dawn.",2.92,66,http://images.amazon.com/images/P/1840680601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1840680601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1840680601.01.LZZZZZZZ.jpg
1890159166,Big Big Love: A Sourcebook on Sex for People of Size and Those Who Love Them,Hanne Blank,2000,Greenery Press (CA),Nonfiction,"At last, a book that covers the how-tos and why-tos of sexuality from the point of view of big folks and those who love them! ""Big Big Love"" is a no-holds-barred, yet lighthearted, overview of sex for everybody from the chubby to the supersized. Detailed and realistic information on improving self-image, partner-finding, sexual positions and activities, resources for toys and clothing and much more. ""Big Big Love"" is essential reading for women, men and transfolk... gays, bisexuals and heterosexuals... and anyone else who's ever been told that sex is only for the slender!",4.1,389,http://images.amazon.com/images/P/1890159166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1890159166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1890159166.01.LZZZZZZZ.jpg
1858817218,Shadow of the Minotaur (Legendeer Trilogy),Alan Gibbons,2001,Trafalgar Square Books,Fantasy,"This is a novel about a boy, Phoenix, the son of a computer geek who creates a virtual reality game that gets a bit too real. Phoenix becomes Theseus pursued by the Minotaur, becomes Perseus and confronts the Gorgon, and goes down into the underworld.",3.66,641,http://images.amazon.com/images/P/1858817218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1858817218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1858817218.01.LZZZZZZZ.jpg
